CDMAT;RBBS0RP02;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RP02;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RP03;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RP03;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RP04;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RP04;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RP05;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RP05;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RS01;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RS01;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RS03;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RS03;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RS04;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RS04;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RS04A;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RS04A;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0SH01;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0SH01;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0SJ01;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0SJ01;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0T601;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0T601;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0T602;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0T602;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0T603;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0T603;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0T604;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0T604;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0T605;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0T605;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0T606;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0T606;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0W801B;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0W801B;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0W801M;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0W801M;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0W801N;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0W801N;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0W801S;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0W801S;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0W801V;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0W801V;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS14601;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS14601;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS14602;EN;"LADY SYNTHETIC BAG"
